,name,name_eng,description_short,description,founded_date,product,homepage,employee_cnt,revenue,ceo_name,email,tel,fax,address1,address2,post_code,facebook,youtube,logo,hash_tag,nation_id,industry_id,is_active,created_at,updated_at
0,JPMorgan Emerging Markets Investment Trust plc,JPMorgan Emerging Markets Investment Trust plc,"JPMorgan Emerging Markets Investment Trust plc is a closed ended equity mutual fund launched and managed by JPMorgan Funds Limited. The fund is co-managed by JPMorgan Asset Management (UK) Limited. It invests in public equity markets across global emerging markets. The fund seeks to invest in stocks of companies operating across diversified sectors. It invests in growth stocks of companies. The fund benchmarks the performance of its portfolio against the MSCI Emerging Markets (Net) Index. It was formerly known as JP Morgan Fleming Emerging Markets Investment Trust plc. JPMorgan Emerging Markets Investment Trust plc was formed on July 01, 1991 and is domiciled in United Kingdom.","JPMorgan Emerging Markets Investment Trust plc is a closed ended equity mutual fund launched and managed by JPMorgan Funds Limited. The fund is co-managed by JPMorgan Asset Management (UK) Limited. It invests in public equity markets across global emerging markets. The fund seeks to invest in stocks of companies operating across diversified sectors. It invests in growth stocks of companies. The fund benchmarks the performance of its portfolio against the MSCI Emerging Markets (Net) Index. It was formerly known as JP Morgan Fleming Emerging Markets Investment Trust plc. JPMorgan Emerging Markets Investment Trust plc was formed on July 01, 1991 and is domiciled in United Kingdom.",1991-06-26,Asset Management,https://am.jpmorgan.co.uk/investment-trusts/trusts/emerging-markets-jpm-it.aspx?isin=GB0003418950,0,425441000,NA,NA,,NA,60 Victoria Embankment,"LONDON, , GB",EC4Y 0JP,https://am.jpmorgan.co.uk/investment-trusts/trusts/emerging-markets-jpm-it.aspx?isin=GB0003418950,https://am.jpmorgan.co.uk/investment-trusts/trusts/emerging-markets-jpm-it.aspx?isin=GB0003418950,https://financialmodelingprep.com/image-stock/JMG.L.jpg,"#JPMorgan Emerging Markets Investment Trust plc, #Asset Management, #Financial Services",17,1,TRUE,2022-05-23,2022-05-23
1,Euromoney Institutional Investor PLC,Euromoney Institutional Investor PLC,"Euromoney Institutional Investor PLC, together with its subsidiaries, provides business-to-business information services in the United Kingdom, North America, and internationally. The company operates through three segments: Fast Markets, Financial & Professional Services, and Asset Management. The Fast Market segment provides commodity price benchmarks and analysis to its clients' business processes and workflows in the metals, mining, forest products, and agriculture industries. The Financial & Professional Services segment offers actionable data, market and people intelligence, accreditation, marketing, and event services to financial and professional services businesses. The Asset Management segment provides independent research that enables its customers to make informed investment decisions; runs networks and conferences that bring asset allocators and managers together; and offers news and data for the industry to stay informed and make deals. It also engages in the research and data service, publishing, property holding activities. The company was formerly known as Euromoney Publications PLC and changed its name to Euromoney Institutional Investor PLC in April 1999. The company was incorporated in 1969 and is headquartered in London, the United Kingdom.","Euromoney Institutional Investor PLC, together with its subsidiaries, provides business-to-business information services in the United Kingdom, North America, and internationally. The company operates through three segments: Fast Markets, Financial & Professional Services, and Asset Management. The Fast Market segment provides commodity price benchmarks and analysis to its clients' business processes and workflows in the metals, mining, forest products, and agriculture industries. The Financial & Professional Services segment offers actionable data, market and people intelligence, accreditation, marketing, and event services to financial and professional services businesses. The Asset Management segment provides independent research that enables its customers to make informed investment decisions; runs networks and conferences that bring asset allocators and managers together; and offers news and data for the industry to stay informed and make deals. It also engages in the research and data service, publishing, property holding activities. The company was formerly known as Euromoney Publications PLC and changed its name to Euromoney Institutional Investor PLC in April 1999. The company was incorporated in 1969 and is headquartered in London, the United Kingdom.",1986-06-11,Financial Data & Stock Exchanges,https://www.euromoneyplc.com,2567,336061000,Mr. Andrew Rashbass,NA,4.42078E+11,NA,8 Bouverie Street,"LONDON, , GB",EC4Y 8AX,https://www.euromoneyplc.com,https://www.euromoneyplc.com,https://financialmodelingprep.com/image-stock/ERM.L.jpg,"#Euromoney Institutional Investor PLC, #Financial Data & Stock Exchanges, #Financial Services",17,1,TRUE,2022-05-23,2022-05-23
2,BT Group plc,BT Group plc,"BT Group plc provides communications products and services in the United Kingdom, Europe, the Middle East, Africa, the Americas, and the Asia Pacific. It operates through Consumer, Enterprise, Global, and Openreach segments. The Consumer segment offers landline, mobile, broadband, and TV services under the BT, EE, and Plusnet brands. The Enterprise segment provides network solutions to communications providers; and sells communications and IT services to businesses and public sector organizations. Its services include fixed voice, mobile, fixed connectivity, and IT services. The Global segment secures and manages network and cloud infrastructure and services for multinational corporations. It also offers voice and data network services, such as managed, security and network, and IT infrastructure services. The Openreach segment provides fixed connectivity access network that connects homes, mobile phone masts, schools, shops, banks, hospitals, libraries, broadcasters, governments, and big and small businesses. This segment also offers last mile, a services over the local access network; and installs and maintains fiber and copper communications networks from exchanges to homes and businesses. BT Group has strategic partnership with Microsoft. The company was formerly known as Newgate Telecommunications Limited and changed its name to BT Group plc in September 2001. BT Group plc was incorporated in 2001 and is headquartered in London, the United Kingdom.","BT Group plc provides communications products and services in the United Kingdom, Europe, the Middle East, Africa, the Americas, and the Asia Pacific. It operates through Consumer, Enterprise, Global, and Openreach segments. The Consumer segment offers landline, mobile, broadband, and TV services under the BT, EE, and Plusnet brands. The Enterprise segment provides network solutions to communications providers; and sells communications and IT services to businesses and public sector organizations. Its services include fixed voice, mobile, fixed connectivity, and IT services. The Global segment secures and manages network and cloud infrastructure and services for multinational corporations. It also offers voice and data network services, such as managed, security and network, and IT infrastructure services. The Openreach segment provides fixed connectivity access network that connects homes, mobile phone masts, schools, shops, banks, hospitals, libraries, broadcasters, governments, and big and small businesses. This segment also offers last mile, a services over the local access network; and installs and maintains fiber and copper communications networks from exchanges to homes and businesses. BT Group has strategic partnership with Microsoft. The company was formerly known as Newgate Telecommunications Limited and changed its name to BT Group plc in September 2001. BT Group plc was incorporated in 2001 and is headquartered in London, the United Kingdom.",1988-07-01,Telecom Services,https://www.bt.com,98370,20850000000,NA,NA,44 20 7356 5000,NA,BT Centre,"London, , GB",E1 8EE,https://www.bt.com,https://www.bt.com,https://financialmodelingprep.com/image-stock/BT-A.L.png,"#BT Group plc, #Telecom Services, #Communication Services",17,1,TRUE,2022-05-23,2022-05-23
3,Vesuvius plc,Vesuvius plc,"Vesuvius plc provides engineering services and solutions principally to steel and foundry industries worldwide. It operates in two divisions, Steel and Foundry. The company offers foundry consumables and equipment, including binders, coatings, feeding systems, filtration and gating systems, melt shop refractories, metallurgical and pouring control systems, die dressings and coatings, melt treatment products, crucibles, and ceramics for the iron, steel, and nonferrous foundries. It also provides nonferrous metals, such as primary and secondary aluminum, copper, and other metals and alloys; cement and lime solutions, iron ore pelletizing and calcination products, and grains and powders; and process heaters, FCC units, hydrogen reformers, boilers, coke calciners, and thermal oxidizers, as well as sulphur, ethylene, and ammonia plants. In addition, the company offers solutions for power generation and incineration; glass products comprising artistic, display, float, hollow, and optical glass; glass tempering, and reheat and forming products; and solutions for solar multicrystal silicon ingots, thin film and cell processing, and feedstock. Further, it provides solutions for blast furnace stack repair; taphole clay, iron and slang runner, sampler and temperature, tilting runner, and torpedo ladle solutions; iron ladle solutions; lining, taphole system, bath agitation and tuyere system, electric arc furnace and BOF maintenance, and metallurgical sensor solutions; and ladle, ladle to tundish, and tundish solutions, as well as tundish to mold solutions for conventional slab, thin and slim slab, beam blank, flow control valve bloom or billet, and calibrated nozzle billet casters. Additionally, the company offers ingot casting solutions; and reheat furnace, steel hot forming, galvanized steel, and electrical and stainless-steel solutions. Vesuvius plc was founded in 1916 and is headquartered in London, the United Kingdom.","Vesuvius plc provides engineering services and solutions principally to steel and foundry industries worldwide. It operates in two divisions, Steel and Foundry. The company offers foundry consumables and equipment, including binders, coatings, feeding systems, filtration and gating systems, melt shop refractories, metallurgical and pouring control systems, die dressings and coatings, melt treatment products, crucibles, and ceramics for the iron, steel, and nonferrous foundries. It also provides nonferrous metals, such as primary and secondary aluminum, copper, and other metals and alloys; cement and lime solutions, iron ore pelletizing and calcination products, and grains and powders; and process heaters, FCC units, hydrogen reformers, boilers, coke calciners, and thermal oxidizers, as well as sulphur, ethylene, and ammonia plants. In addition, the company offers solutions for power generation and incineration; glass products comprising artistic, display, float, hollow, and optical glass; glass tempering, and reheat and forming products; and solutions for solar multicrystal silicon ingots, thin film and cell processing, and feedstock. Further, it provides solutions for blast furnace stack repair; taphole clay, iron and slang runner, sampler and temperature, tilting runner, and torpedo ladle solutions; iron ladle solutions; lining, taphole system, bath agitation and tuyere system, electric arc furnace and BOF maintenance, and metallurgical sensor solutions; and ladle, ladle to tundish, and tundish solutions, as well as tundish to mold solutions for conventional slab, thin and slim slab, beam blank, flow control valve bloom or billet, and calibrated nozzle billet casters. Additionally, the company offers ingot casting solutions; and reheat furnace, steel hot forming, galvanized steel, and electrical and stainless-steel solutions. Vesuvius plc was founded in 1916 and is headquartered in London, the United Kingdom.",2012-12-17,Steel,https://www.vesuvius.com,11148,1642900000,Mr. Patrick Andre,NA,4.42078E+11,NA,165 Fleet Street,"LONDON, , GB",EC4A 2AE,https://www.vesuvius.com,https://www.vesuvius.com,https://financialmodelingprep.com/image-stock/VSVS.L.png,"#Vesuvius plc, #Steel, #Basic Materials",17,1,TRUE,2022-05-23,2022-05-23
4,James Latham plc,James Latham plc,"James Latham plc, together with its subsidiaries, imports and distributes timber, panels, and decorative surfaces in the United Kingdom, the Republic of Ireland, rest of Europe, and internationally. The company offers panels, melamine, veneer, laminates, solid surface products, door blanks, plastics, hardwoods and softwoods, engineered timber products, flooring products, decking and cladding products, modified timbers and panels, fire retardant panels, advanced technical panels, and treatments. It serves the construction/housing, retail, transport, exhibition, and other sectors. The company was founded in 1757 and is headquartered in Hemel Hempstead, the United Kingdom.","James Latham plc, together with its subsidiaries, imports and distributes timber, panels, and decorative surfaces in the United Kingdom, the Republic of Ireland, rest of Europe, and internationally. The company offers panels, melamine, veneer, laminates, solid surface products, door blanks, plastics, hardwoods and softwoods, engineered timber products, flooring products, decking and cladding products, modified timbers and panels, fire retardant panels, advanced technical panels, and treatments. It serves the construction/housing, retail, transport, exhibition, and other sectors. The company was founded in 1757 and is headquartered in Hemel Hempstead, the United Kingdom.",1986-01-06,Lumber & Wood Production,https://www.lathamtimber.co.uk,441,250162000,NA,NA,4.41443E+11,NA,"Unit 3, Swallow Park, Finway Road","Hemel Hempstead, HERTFORDSHIRE, GB",HP2 7QU,https://www.lathamtimber.co.uk,https://www.lathamtimber.co.uk,https://financialmodelingprep.com/image-stock/LTHM.L.jpg,"#James Latham plc, #Lumber & Wood Production, #Basic Materials",17,1,TRUE,2022-05-23,2022-05-23
5,Actual Experience plc,Actual Experience plc,"Actual Experience plc, an analytics-as-a-service company, provides human experience management and associated consultancy services in the United Kingdom and the United States. It offers Analytics Cloud that receives data from digital users, applies algorithms to the data, and produces an objective score of digital experience quality and supply chain diagnostics; business impact assessment that helps its customer to understand the impact on top-level business metrics; and continuous improvement service to optimize the digital business over time. The company also provides digital supply chain, a combination of businesses and the technologies they provide, including networks, IT infrastructure and applications, that deliver a digital product or service; and digital user, a measurement software that is downloaded by an end user to collect the measurements. Actual Experience plc was incorporated in 2009 and is headquartered in Bath, the United Kingdom.","Actual Experience plc, an analytics-as-a-service company, provides human experience management and associated consultancy services in the United Kingdom and the United States. It offers Analytics Cloud that receives data from digital users, applies algorithms to the data, and produces an objective score of digital experience quality and supply chain diagnostics; business impact assessment that helps its customer to understand the impact on top-level business metrics; and continuous improvement service to optimize the digital business over time. The company also provides digital supply chain, a combination of businesses and the technologies they provide, including networks, IT infrastructure and applications, that deliver a digital product or service; and digital user, a measurement software that is downloaded by an end user to collect the measurements. Actual Experience plc was incorporated in 2009 and is headquartered in Bath, the United Kingdom.",2014-02-13,Information Technology Services,https://www.actual-experience.com,72,1741207,Mr. David Page,NA,4.41226E+11,NA,"Quay House, The Ambury","BATH, , GB",BA1 1UA,https://www.actual-experience.com,https://www.actual-experience.com,https://financialmodelingprep.com/image-stock/ACT.L.png,"#Actual Experience plc, #Information Technology Services, #Technology",17,1,TRUE,2022-05-23,2022-05-23
6,Helios Towers plc,Helios Towers plc,"Helios Towers plc, an independent tower company, acquires, builds, and operates telecommunications towers and passive infrastructure. It provides site space to mobile network operators and other telecommunications providers that in turn provide wireless voice and data services to consumers and businesses. The company also offers comprehensive tower-related operational services, including site selection, site preparation, maintenance, security, and power management. As of December 31, 2021, it operated a network of 9,560 sites and 18,776 tenancies in Tanzania, the Democratic Republic of Congo, Congo Brazzaville, Ghana, South Africa, Senegal, and Madagascar. The company was founded in 2009 and is based in London, the United Kingdom.","Helios Towers plc, an independent tower company, acquires, builds, and operates telecommunications towers and passive infrastructure. It provides site space to mobile network operators and other telecommunications providers that in turn provide wireless voice and data services to consumers and businesses. The company also offers comprehensive tower-related operational services, including site selection, site preparation, maintenance, security, and power management. As of December 31, 2021, it operated a network of 9,560 sites and 18,776 tenancies in Tanzania, the Democratic Republic of Congo, Congo Brazzaville, Ghana, South Africa, Senegal, and Madagascar. The company was founded in 2009 and is based in London, the United Kingdom.",2019-10-15,Telecom Services,https://www.heliostowers.com,550,449100000,NA,NA,,NA,"10Th Floor, Merchant Square West","LONDON, , GB",W2 1AS,https://www.heliostowers.com,https://www.heliostowers.com,https://financialmodelingprep.com/image-stock/HTWS.L.png,"#Helios Towers plc, #Telecom Services, #Communication Services",17,1,TRUE,2022-05-23,2022-05-23
7,Honeywell International Inc.,Honeywell International Inc.,"Honeywell International Inc. operates as a diversified technology and manufacturing company worldwide. Its Aerospace segment offers auxiliary power units, propulsion engines, integrated avionics, environmental control and electric power systems, engine controls, flight safety, communications, navigation hardware, data and software applications, radar and surveillance systems, aircraft lighting, advanced systems and instruments, satellite and space components, and aircraft wheels and brakes; spare parts; repair, overhaul, and maintenance services; thermal systems, as well as wireless connectivity and management services. The company's Honeywell Building Technologies segment offers software applications for building control and optimization; sensors, switches, control systems, and instruments for energy management; access control; video surveillance; fire products; and installation, maintenance, and upgrades of systems. Its Performance Materials and Technologies segment offers automation control, instrumentation, and software and related services; catalysts and adsorbents, equipment, and consulting; and materials to manufacture end products, such as bullet-resistant armor, nylon, computer chips, and pharmaceutical packaging, as well as provides reduced and low global-warming-potential materials based on hydrofluoro-olefin technology. The company's Safety and Productivity Solutions segment provides personal protection equipment, apparel, gear, and footwear; gas detection technology; cloud-based notification and emergency messaging; mobile devices and software; supply chain and warehouse automation equipment, and software solutions; custom-engineered sensors, switches, and controls; and data and asset management productivity software solutions. The company was founded in 1906 and is headquartered in Charlotte, North Carolina.","Honeywell International Inc. operates as a diversified technology and manufacturing company worldwide. Its Aerospace segment offers auxiliary power units, propulsion engines, integrated avionics, environmental control and electric power systems, engine controls, flight safety, communications, navigation hardware, data and software applications, radar and surveillance systems, aircraft lighting, advanced systems and instruments, satellite and space components, and aircraft wheels and brakes; spare parts; repair, overhaul, and maintenance services; thermal systems, as well as wireless connectivity and management services. The company's Honeywell Building Technologies segment offers software applications for building control and optimization; sensors, switches, control systems, and instruments for energy management; access control; video surveillance; fire products; and installation, maintenance, and upgrades of systems. Its Performance Materials and Technologies segment offers automation control, instrumentation, and software and related services; catalysts and adsorbents, equipment, and consulting; and materials to manufacture end products, such as bullet-resistant armor, nylon, computer chips, and pharmaceutical packaging, as well as provides reduced and low global-warming-potential materials based on hydrofluoro-olefin technology. The company's Safety and Productivity Solutions segment provides personal protection equipment, apparel, gear, and footwear; gas detection technology; cloud-based notification and emergency messaging; mobile devices and software; supply chain and warehouse automation equipment, and software solutions; custom-engineered sensors, switches, and controls; and data and asset management productivity software solutions. The company was founded in 1906 and is headquartered in Charlotte, North Carolina.",1985-09-19,Conglomerates,https://www.honeywell.com,99000,34392000000,Mr. Darius Adamczyk,NA,17046276200,NA,300 S Tryon St,"Charlotte, NORTH CAROLINA, US",28202,https://www.honeywell.com,https://www.honeywell.com,https://financialmodelingprep.com/image-stock/HON.L.jpg,"#Honeywell International Inc., #Conglomerates, #Industrials",17,1,TRUE,2022-05-23,2022-05-23
8,Volex plc,Volex plc,"Volex plc manufactures and supplies power products and cable assemblies in North America, Europe, and Asia. The company designs, manufactures, and sells power cords, duck heads, and related products to manufacturers of a range of electrical and electronic devices and appliances for use in laptops, PCs, tablets, printers, TVs, games consoles, power tools, kitchen appliances, and electric and autonomous vehicles. It also designs, manufactures, and sells a range of assemblies and connectors comprising high-speed copper cables, and multi-branch high reliability systems that transfer electronic, radio-frequency, and optical data for use in various applications, such as medical equipment, data networking equipment, data centers, wireless base stations, mobile computing devices, factory automation, and vehicle telematics. The company sells its products through its sales force and distributors to original equipment manufacturers and electronic manufacturing services companies. Volex plc was incorporated in 1919 and is headquartered in Basingstoke, the United Kingdom.","Volex plc manufactures and supplies power products and cable assemblies in North America, Europe, and Asia. The company designs, manufactures, and sells power cords, duck heads, and related products to manufacturers of a range of electrical and electronic devices and appliances for use in laptops, PCs, tablets, printers, TVs, games consoles, power tools, kitchen appliances, and electric and autonomous vehicles. It also designs, manufactures, and sells a range of assemblies and connectors comprising high-speed copper cables, and multi-branch high reliability systems that transfer electronic, radio-frequency, and optical data for use in various applications, such as medical equipment, data networking equipment, data centers, wireless base stations, mobile computing devices, factory automation, and vehicle telematics. The company sells its products through its sales force and distributors to original equipment manufacturers and electronic manufacturing services companies. Volex plc was incorporated in 1919 and is headquartered in Basingstoke, the United Kingdom.",1986-01-02,Electrical Equipment & Parts,https://www.volex.com,6400,443313000, Nathaniel Rothschild,NA,,NA,"Holbrooke House, 34-38 Hill Rise","RICHMOND, SURREY, GB",RG24 8PZ,https://www.volex.com,https://www.volex.com,https://financialmodelingprep.com/image-stock/VLX.L.png,"#Volex plc, #Electrical Equipment & Parts, #Industrials",17,1,TRUE,2022-05-23,2022-05-23
9,OPG Power Ventures Plc,OPG Power Ventures Plc,"OPG Power Ventures Plc, together with its subsidiaries, develops, owns, operates, and maintains private sector power projects in India. It operates thermal and solar power plants. The company primarily sells electric power to public sector undertakings and heavy industrial companies. OPG Power Ventures Plc was incorporated in 2008 and is based in Chennai, India.","OPG Power Ventures Plc, together with its subsidiaries, develops, owns, operates, and maintains private sector power projects in India. It operates thermal and solar power plants. The company primarily sells electric power to public sector undertakings and heavy industrial companies. OPG Power Ventures Plc was incorporated in 2008 and is based in Chennai, India.",2008-05-30,Utilities?îIndependent Power Producers,https://www.opgpower.com,336,93823933,NA,NA,4.41625E+11,NA,"IOMA House, Hope Street","Douglas, , IM",600032,https://www.opgpower.com,https://www.opgpower.com,https://financialmodelingprep.com/image-stock/OPG.L.jpg,"#OPG Power Ventures Plc, #Utilities?îIndependent Power Producers, #Utilities",17,1,TRUE,2022-05-23,2022-05-23
