,name,name_eng,description_short,description,founded_date,product,homepage,employee_cnt,revenue,ceo_name,email,tel,fax,address1,address2,post_code,facebook,youtube,logo,hash_tag,nation_id,industry_id,is_active,created_at,updated_at
0,Aquila SA,Aquila SA,"Aquila SA provides alarm intervention services in France. The company also offers security round, monitoring, and security guard services. It operates through a network of 300 security companies. The company was founded in 1993 and is based in Avignon, France.","Aquila SA provides alarm intervention services in France. The company also offers security round, monitoring, and security guard services. It operates through a network of 300 security companies. The company was founded in 1993 and is based in Avignon, France.",2006-06-22,Security & Protection Services,https://www.reseau-aquila.fr,18,29761152,NA,NA,33825302424,NA,"980 rue Sainte Genevieve, Zone Industrielle de Courtine","Avignon, PACA, FR",84092,https://www.reseau-aquila.fr,https://www.reseau-aquila.fr,https://financialmodelingprep.com/image-stock/ALAQU.PA.jpg,"#Aquila SA, #Security & Protection Services, #Industrials",17,1,TRUE,2022-05-23,2022-05-23
1,TotalEnergies EP Gabon Société anonyme,TotalEnergies EP Gabon Société anonyme,"TotalEnergies EP Gabon Société engages in the mining, exploration, and production of crude oil in Gabon. As of December 31, 2019, the company held mining exploration area that covers approximately 1,461 square kilometers. It also holds interests in operated and non-operated production fields. The company was formerly known as Total Gabon. The company was founded in 1949 and is headquartered in Port-Gentil, Gabon. TotalEnergies EP Gabon Société is a subsidiary of TotalEnergies SE.","TotalEnergies EP Gabon Société engages in the mining, exploration, and production of crude oil in Gabon. As of December 31, 2019, the company held mining exploration area that covers approximately 1,461 square kilometers. It also holds interests in operated and non-operated production fields. The company was formerly known as Total Gabon. The company was founded in 1949 and is headquartered in Port-Gentil, Gabon. TotalEnergies EP Gabon Société is a subsidiary of TotalEnergies SE.",1958-04-08,Oil & Gas E&P,https://ep.totalenergies.ga,268,654932000, Benoit Chague,NA,241556000,NA,"boulevard Hourcq, Bp 525","Port Gentil, , GA",NA,https://ep.totalenergies.ga,https://ep.totalenergies.ga,https://financialmodelingprep.com/image-stock/EC.PA.png,"#TotalEnergies EP Gabon Société anonyme, #Oil & Gas E&P, #Energy",17,1,TRUE,2022-05-23,2022-05-23
2,Capgemini SE,Capgemini SE,"Capgemini SE provides consulting, digital transformation, technology, and engineering services primarily in the Americas, Europe, the Middle East, Africa, and the Asia-Pacific. The company offers strategy and transformation services, including strategy, technology, data science, and creative design to support various clients within the digital economy. It also provides applications and technology services that helps the clients to develop, modernize, extend, and secure their IT and digital environment using the latest technologies, as well as offers local technology services in cloud, cybersecurity, quality assurance, testing, and new technology fields. In addition, the company offers business process outsourcing and transactional services, as well as installation and maintenance services for its clients' IT infrastructures in data centers or in the cloud. It serves various industries, including consumer goods and retail; energy and utilities; banking, capital markets, and insurance; manufacturing and life sciences; public sector; telecommunications, media, and technology; and services. Capgemini SE has a strategic partnership with CONA Services LLC to develop digital solutions for the consumer products industry and retail customers. The company was founded in 1967 and is headquartered in Paris, France.","Capgemini SE provides consulting, digital transformation, technology, and engineering services primarily in the Americas, Europe, the Middle East, Africa, and the Asia-Pacific. The company offers strategy and transformation services, including strategy, technology, data science, and creative design to support various clients within the digital economy. It also provides applications and technology services that helps the clients to develop, modernize, extend, and secure their IT and digital environment using the latest technologies, as well as offers local technology services in cloud, cybersecurity, quality assurance, testing, and new technology fields. In addition, the company offers business process outsourcing and transactional services, as well as installation and maintenance services for its clients' IT infrastructures in data centers or in the cloud. It serves various industries, including consumer goods and retail; energy and utilities; banking, capital markets, and insurance; manufacturing and life sciences; public sector; telecommunications, media, and technology; and services. Capgemini SE has a strategic partnership with CONA Services LLC to develop digital solutions for the consumer products industry and retail customers. The company was founded in 1967 and is headquartered in Paris, France.",1985-06-12,Information Technology Services,https://www.capgemini.com,324684,15848000000,Mr. Paul Hermelin,NA,33147545000,NA,11 rue de Tilsitt,"Paris, ILE-DE-FRANCE, FR",75017,https://www.capgemini.com,https://www.capgemini.com,https://financialmodelingprep.com/image-stock/CAP.PA.png,"#Capgemini SE, #Information Technology Services, #Technology",17,1,TRUE,2022-05-23,2022-05-23
3,Cnova N.V.,Cnova N.V.,"Cnova N.V. operates as an e-commerce company in France and Western Europe. The company offers home appliances, consumer electronics, computers, home furnishings, and leisure and personal goods through its cdiscount.com website. It also operates Cdiscount Voyages, a travel platform; Cdiscount Billetterie, a ticketing platform; Cdiscount Energie for home energy; Cdiscount Mobile for cell phone plans; Cdiscount Advertising, a digital marketing solution; Octopia for turnkey marketplace solutions to retailers and e-merchants; and C-Logistics and C Chez Vous for transportation and logistics services. The company was founded in 1998 and is headquartered in Amsterdam, the Netherlands. Cnova N.V. is a subsidiary of Casino, Guichard-Perrachon S.A.","Cnova N.V. operates as an e-commerce company in France and Western Europe. The company offers home appliances, consumer electronics, computers, home furnishings, and leisure and personal goods through its cdiscount.com website. It also operates Cdiscount Voyages, a travel platform; Cdiscount Billetterie, a ticketing platform; Cdiscount Energie for home energy; Cdiscount Mobile for cell phone plans; Cdiscount Advertising, a digital marketing solution; Octopia for turnkey marketplace solutions to retailers and e-merchants; and C-Logistics and C Chez Vous for transportation and logistics services. The company was founded in 1998 and is headquartered in Amsterdam, the Netherlands. Cnova N.V. is a subsidiary of Casino, Guichard-Perrachon S.A.",2015-01-23,Internet Retail,https://www.cnova.com,2,2166088000,Mr. German Pasquale Quiroga Vilardo,NA,,NA,Strawinskylaan 3051,"Amsterdam, NOORD-HOLLAND, NL",1077 ZX,https://www.cnova.com,https://www.cnova.com,https://financialmodelingprep.com/image-stock/CNV.PA.jpg,"#Cnova N.V., #Internet Retail, #Consumer Cyclical",17,1,TRUE,2022-05-23,2022-05-23
4,Delta Plus Group,Delta Plus Group,"Delta Plus Group designs, manufactures, and distributes a range of personal protective equipment worldwide. It provides head protection products, including eyewear, skull, hearing, and respiratory protection products; and hand protection products, such as high tech, synthetic, leather, and knitted gloves. The company also offers body protection products comprising work wear, technical wear, outdoor wear, and disposable wear products; and foot protection products consisting of shoes, boots, and accessories. In addition, it provides fall protection products, including body support products, fall arrester systems, anchorage-work positioning products, connecting systems, and suspension and rescue products. The company was founded in 1977 and is headquartered in Apt, France.","Delta Plus Group designs, manufactures, and distributes a range of personal protective equipment worldwide. It provides head protection products, including eyewear, skull, hearing, and respiratory protection products; and hand protection products, such as high tech, synthetic, leather, and knitted gloves. The company also offers body protection products comprising work wear, technical wear, outdoor wear, and disposable wear products; and foot protection products consisting of shoes, boots, and accessories. In addition, it provides fall protection products, including body support products, fall arrester systems, anchorage-work positioning products, connecting systems, and suspension and rescue products. The company was founded in 1977 and is headquartered in Apt, France.",1999-07-01,Footwear & Accessories,https://www.deltaplusgroup.com,2704,288706000,Mr. Jerome Benoit,NA,33490742033,NA,Z.A.C. La Peyroliere BP 140 APT Cedex,"Apt, PACA, FR",84405,https://www.deltaplusgroup.com,https://www.deltaplusgroup.com,https://financialmodelingprep.com/image-stock/DLTA.PA.png,"#Delta Plus Group, #Footwear & Accessories, #Consumer Cyclical",17,1,FALSE,2022-05-23,2022-05-23
5,AdVini S.A.,AdVini S.A.,"AdVini S.A. produces, markets, and distributes wines in France and internationally. The company was founded in 1870 and is headquartered in Clermont-l'Hérault, France.","AdVini S.A. produces, markets, and distributes wines in France and internationally. The company was founded in 1870 and is headquartered in Clermont-l'Hérault, France.",1994-07-06,Beverages?�Wineries & Distilleries,https://www.advini.com,765,247906000,Mr. Antoine Leccia,NA,33467888000,NA,L'Enclos,"SAINT FELIX DE LODEZ, OCCITANIE, FR",34725,https://www.advini.com,https://www.advini.com,https://financialmodelingprep.com/image-stock/ADVI.PA.png,"#AdVini S.A., #Beverages?�Wineries & Distilleries, #Consumer Defensive",17,1,TRUE,2022-05-23,2022-05-23
6,ENENSYS Technologies SA,ENENSYS Technologies SA,"ENENSYS Technologies SA designs and manufactures digital television (TV) transmission and terrestrial broadcasting systems. The company provides broadcasting network equipment for digital terrestrial TV, targeted content insertion, switching, and Internet-protocol (IP) transportation; long-term evolution (LTE) broadcasting technology for backpack and footprint networks; and software for enabling video delivery over broadcasting and telecommunication networks. Additionally, it offers AdsEdge, targeted content server and splicer; ATSCheduler, broadcast gateway; DTTCaster for HDc, terrestrial demodulator; and IPGuardV2, IP stream switches. ENENSYS Technologies SA was founded in 2004 and is headquartered in Cesson-Sevigne, France.","ENENSYS Technologies SA designs and manufactures digital television (TV) transmission and terrestrial broadcasting systems. The company provides broadcasting network equipment for digital terrestrial TV, targeted content insertion, switching, and Internet-protocol (IP) transportation; long-term evolution (LTE) broadcasting technology for backpack and footprint networks; and software for enabling video delivery over broadcasting and telecommunication networks. Additionally, it offers AdsEdge, targeted content server and splicer; ATSCheduler, broadcast gateway; DTTCaster for HDc, terrestrial demodulator; and IPGuardV2, IP stream switches. ENENSYS Technologies SA was founded in 2004 and is headquartered in Cesson-Sevigne, France.",2018-06-01,Communication Equipment,https://www.enensys.com,90,12502000,NA,NA,33 1 70 72 51 70,NA,4A rue des Buttes,"Cesson-SÃ©vignÃ©, , FR",35577,https://www.enensys.com,https://www.enensys.com,https://financialmodelingprep.com/image-stock/ALNN6.PA.png,"#ENENSYS Technologies SA, #Communication Equipment, #Technology",17,1,TRUE,2022-05-23,2022-05-23
7,Carrefour SA,Carrefour SA,"Carrefour SA operates stores in various formats and channels in France, Spain, Italy, Belgium, Poland, Romania, Brazil, Argentina, and Taiwan. The company operates hypermarkets, supermarkets, convenience stores, cash and carry stores, and hypercash stores; e-commerce sites; and service stations. Its stores offer fresh produce; local products; consumer goods; and non-food products, including electronic and household appliances, textiles, and childcare products. The company is also involved in banking, insurance, property development, and franchise activities; the provision of travel agency services; and the rental of shopping malls. As of December 31. 2021, it operated 253 hypermarkets, 1,043 supermarkets, 4,330 convenience stores, 147 cash and carry outlets, and 26 soft discount stores in France; 457 hypermarkets, 1,926 supermarkets, 3,430 convenience stores, 12 cash and carry outlets, and 81 soft discount stores in rest of Europe; 184 hypermarkets, 151 supermarkets, 558 convenience stores, 259 cash and carry outlets, and one soft discount store in Argentina and Brazil; and 70 hypermarkets, four supermarkets, and 274 convenience stores in Taiwan, as well as 688 stores through local franchisee partners in Middle East, Africa, etc. Carrefour SA was founded in 1959 and is based in Massy, France.","Carrefour SA operates stores in various formats and channels in France, Spain, Italy, Belgium, Poland, Romania, Brazil, Argentina, and Taiwan. The company operates hypermarkets, supermarkets, convenience stores, cash and carry stores, and hypercash stores; e-commerce sites; and service stations. Its stores offer fresh produce; local products; consumer goods; and non-food products, including electronic and household appliances, textiles, and childcare products. The company is also involved in banking, insurance, property development, and franchise activities; the provision of travel agency services; and the rental of shopping malls. As of December 31. 2021, it operated 253 hypermarkets, 1,043 supermarkets, 4,330 convenience stores, 147 cash and carry outlets, and 26 soft discount stores in France; 457 hypermarkets, 1,926 supermarkets, 3,430 convenience stores, 12 cash and carry outlets, and 81 soft discount stores in rest of Europe; 184 hypermarkets, 151 supermarkets, 558 convenience stores, 259 cash and carry outlets, and one soft discount store in Argentina and Brazil; and 70 hypermarkets, four supermarkets, and 274 convenience stores in Taiwan, as well as 688 stores through local franchisee partners in Middle East, Africa, etc. Carrefour SA was founded in 1959 and is based in Massy, France.",1970-01-01,Grocery Stores,https://www.carrefour.com,319565,72150000000,Mr. Alexandre Bompard,NA,33164505000,NA,93 Avenue de Paris,"Massy, ILE-DE-FRANCE, FR",91300,https://www.carrefour.com,https://www.carrefour.com,https://financialmodelingprep.com/image-stock/CA.PA.png,"#Carrefour SA, #Grocery Stores, #Consumer Defensive",17,1,TRUE,2022-05-23,2022-05-23
8,Groupe Open,Groupe Open,"Groupe Open engages in digital and industrial transformation business in France, Romania, the Netherlands, and Luxembourg. The company offers consultancy for technology and digital transformation, application management, and DevOps transformation. It is also involved in the project management assistance, design and conception of services, application development, application portfolio management, integrating solution, test and acceptance, continuous deployment and integration, infrastructure management, and user and application support activities, as well as provision of agility, DevOps, and automation services. In addition, the company offers IZBERG,a SaaS platform that manages elements and workflows related to the project; FullMaps, a cartography solution; MoodPeek, a solution for analysing the opinions of mobile users; Swizi, a solution for creating and managing mobile applications; XLoan, a financing solution; Primpromo, a solution for property developers; and Fast-IT technological platform. It serves the banking, insurance, finance, services and transportation, energy, industrial, telecom, media, commerce, and distribution markets, as well as public sector. The company was founded in 1989 and is headquartered in Levallois-Perret, France.","Groupe Open engages in digital and industrial transformation business in France, Romania, the Netherlands, and Luxembourg. The company offers consultancy for technology and digital transformation, application management, and DevOps transformation. It is also involved in the project management assistance, design and conception of services, application development, application portfolio management, integrating solution, test and acceptance, continuous deployment and integration, infrastructure management, and user and application support activities, as well as provision of agility, DevOps, and automation services. In addition, the company offers IZBERG,a SaaS platform that manages elements and workflows related to the project; FullMaps, a cartography solution; MoodPeek, a solution for analysing the opinions of mobile users; Swizi, a solution for creating and managing mobile applications; XLoan, a financing solution; Primpromo, a solution for property developers; and Fast-IT technological platform. It serves the banking, insurance, finance, services and transportation, energy, industrial, telecom, media, commerce, and distribution markets, as well as public sector. The company was founded in 1989 and is headquartered in Levallois-Perret, France.",1998-05-18,Information Technology Services,https://www.open.global,3757,296200000,Mr. Frederic Sebag,NA,33171063128,NA,"Carre Champeret, 28 rue Jacques Ibert","Levallois-Perret, ILE-DE-FRANCE, FR",92309,https://www.open.global,https://www.open.global,https://financialmodelingprep.com/image-stock/OPN.PA.png,"#Groupe Open, #Information Technology Services, #Technology",17,1,FALSE,2022-05-23,2022-05-23
9,Schlumberger Limited,Schlumberger Limited,"Schlumberger Limited provides technology for the energy industry worldwide. The company operates through four divisions: Digital & Integration, Reservoir Performance, Well Construction, and Production Systems. It offers software, information management, and IT infrastructure services; consulting services for reservoir characterization, field development planning, and production enhancement; petro technical data services and training solutions; reservoir interpretation and data processing services; asset performance solutions; open and cased-hole services; exploration and production pressure and flow-rate measurement services; pressure pumping, well stimulation, and coiled tubing equipment for downhole mechanical well intervention, reservoir monitoring, and downhole data acquisition; and integrated production systems. The company also provides mud logging and engineering support services; drilling equipment and services for shipyards, drilling contractors, energy companies, and rental tool companies; land drilling rigs and related services; drilling tools; well cementing products and services; and well planning and drilling, engineering, supervision, logistics, procurement, contracting, and drilling rig management services, as well as supplies engineered drilling fluid systems; and designs, manufactures, and markets roller cone and fixed cutter drill bits. In addition, it offers well completion services and equipment; artificial lift production equipment and optimization services; valves; process systems; and integrated subsea production systems comprising wellheads, subsea trees, manifolds and flowline connectors, control systems, connectors, and services, as well as designs and manufactures onshore and offshore platform wellhead systems and processing solutions. The company was formerly known as Socie´te´ de Prospection E´lectrique. Schlumberger Limited was founded in 1926 and is based in Houston, Texas.","Schlumberger Limited provides technology for the energy industry worldwide. The company operates through four divisions: Digital & Integration, Reservoir Performance, Well Construction, and Production Systems. It offers software, information management, and IT infrastructure services; consulting services for reservoir characterization, field development planning, and production enhancement; petro technical data services and training solutions; reservoir interpretation and data processing services; asset performance solutions; open and cased-hole services; exploration and production pressure and flow-rate measurement services; pressure pumping, well stimulation, and coiled tubing equipment for downhole mechanical well intervention, reservoir monitoring, and downhole data acquisition; and integrated production systems. The company also provides mud logging and engineering support services; drilling equipment and services for shipyards, drilling contractors, energy companies, and rental tool companies; land drilling rigs and related services; drilling tools; well cementing products and services; and well planning and drilling, engineering, supervision, logistics, procurement, contracting, and drilling rig management services, as well as supplies engineered drilling fluid systems; and designs, manufactures, and markets roller cone and fixed cutter drill bits. In addition, it offers well completion services and equipment; artificial lift production equipment and optimization services; valves; process systems; and integrated subsea production systems comprising wellheads, subsea trees, manifolds and flowline connectors, control systems, connectors, and services, as well as designs and manufactures onshore and offshore platform wellhead systems and processing solutions. The company was formerly known as Socie´te´ de Prospection E´lectrique. Schlumberger Limited was founded in 1926 and is based in Houston, Texas.",1962-02-02,Oil & Gas Equipment & Services,https://www.slb.com,92000,22929000000,Mr. Olivier Le Peuch,NA,17135132000,NA,5599 San Felipe St Fl 17,"Houston, TEXAS, US",77056,https://www.slb.com,https://www.slb.com,https://financialmodelingprep.com/image-stock/SLB.PA.png,"#Schlumberger Limited, #Oil & Gas Equipment & Services, #Energy",17,1,TRUE,2022-05-23,2022-05-23
