,name,name_eng,description_short,description,founded_date,product,homepage,employee_cnt,revenue,ceo_name,email,tel,fax,address1,address2,post_code,facebook,youtube,logo,hash_tag,nation_id,industry_id,is_active,created_at,updated_at
0,"LG Chem, Ltd.","LG Chem, Ltd.","LG Chem, Ltd., together with its subsidiaries, engages in the petrochemicals, energy solutions, advanced materials, life sciences, and common and others businesses in South Korea, China, Asia, the United States, Europe, and internationally. It provides olefin petrochemicals, including ethylene, propylene, butadiene from Naphtha; synthetic resin and synthetic components from olefin, and aromatic petrochemicals, such as benzene; propylene, polypropylene, bisphenol A, acrylonitrile butadiene styrenes, EP, polyvinyl chloride, plasticizers, acrylics, super absorbent polymers, synthetic rubber, and others. The company also manufactures and supplies IT and new application batteries for mobile phones and laptop computers; automotive batteries for electric vehicles; and energy storage system batteries. In addition, it manufactures and supplies various IT materials, such as polarizers, automotive materials, glass substrates, OLED films, OLED materials, battery materials and others, and RO membranes, as well as semiconductor materials, and display and battery materials for LCD photoresist. Further, the company offers human growth hormones, such as Eutropin; diabetes drugs, such as Zemiglo; bovine somatotropins, such as Boostin; vaccines; hyaluronic acid fillers, such as YVORIE, and others; and fine chemical products, such as herbicide PYANCHOR for rice farming. Additionally, it provides crop protection products, seeds, fertilizers, agricultural pesticides, and others; pharmaceutical research services; and facility management and general cleaning services. The company also manufactures and sells adhesives and electronic parts; sells pharmaceutical products; sells water processing membranes; agricultural pesticides licensing; and invests in venture companies. LG Chem, Ltd. was founded in 1947 and is headquartered in Seoul, South Korea.","LG Chem, Ltd., together with its subsidiaries, engages in the petrochemicals, energy solutions, advanced materials, life sciences, and common and others businesses in South Korea, China, Asia, the United States, Europe, and internationally. It provides olefin petrochemicals, including ethylene, propylene, butadiene from Naphtha; synthetic resin and synthetic components from olefin, and aromatic petrochemicals, such as benzene; propylene, polypropylene, bisphenol A, acrylonitrile butadiene styrenes, EP, polyvinyl chloride, plasticizers, acrylics, super absorbent polymers, synthetic rubber, and others. The company also manufactures and supplies IT and new application batteries for mobile phones and laptop computers; automotive batteries for electric vehicles; and energy storage system batteries. In addition, it manufactures and supplies various IT materials, such as polarizers, automotive materials, glass substrates, OLED films, OLED materials, battery materials and others, and RO membranes, as well as semiconductor materials, and display and battery materials for LCD photoresist. Further, the company offers human growth hormones, such as Eutropin; diabetes drugs, such as Zemiglo; bovine somatotropins, such as Boostin; vaccines; hyaluronic acid fillers, such as YVORIE, and others; and fine chemical products, such as herbicide PYANCHOR for rice farming. Additionally, it provides crop protection products, seeds, fertilizers, agricultural pesticides, and others; pharmaceutical research services; and facility management and general cleaning services. The company also manufactures and sells adhesives and electronic parts; sells pharmaceutical products; sells water processing membranes; agricultural pesticides licensing; and invests in venture companies. LG Chem, Ltd. was founded in 1947 and is headquartered in Seoul, South Korea.",2001-04-25,Chemicals,https://www.lgchem.com,13051,4.27E+13,NA,NA,82 2 3773 1114,NA,LG Twin Towers,"Seoul, , US",NA,https://www.lgchem.com,https://www.lgchem.com,https://financialmodelingprep.com/image-stock/051910.KS.png,"#LG Chem, Ltd., #Chemicals, #Basic Materials",1,1,TRUE,2022-05-23,2022-05-23
1,Hi Gold Ocean Kmarin No.12 Ship Investment Company,Hi Gold Ocean Kmarin No.12 Ship Investment Company,"Hi Gold Ocean Kmarin No.12 Ship Investment Company, through its subsidiaries, invests in vessels. The company was founded in 2013 and is headquartered in Cheju, South Korea.","Hi Gold Ocean Kmarin No.12 Ship Investment Company, through its subsidiaries, invests in vessels. The company was founded in 2013 and is headquartered in Cheju, South Korea.",2013-07-12,Aerospace & Defense,,,7435857330,NA,NA,82 2 2090 4600,NA,473 Yeonsam road,"Cheju, , US",NA,,,https://financialmodelingprep.com/image-stock/172580.KS.png,"#Hi Gold Ocean Kmarin No.12 Ship Investment Company, #Aerospace & Defense, #Industrials",1,1,FALSE,2022-05-23,2022-05-23
2,"Samsung Biologics Co.,Ltd.","Samsung Biologics Co.,Ltd.","Samsung Biologics Co., Ltd. engages in the contract manufacturing organization business for biopharmaceuticals products. It is involved in the provision of contract development organization services, including cell line development, upstream and downstream processes, and analytical methods and formulations. The company also offers aseptic filling, lyophilization, finishing, storage and shipping, and support services; and quality assurance and control, as well as biosafety and analytical testing services. In addition, it engages in the development and commercialization of biosimilar drugs; and manufactures mammalian cell-based antibody drugs. The company has a strategic partnership agreement with Kineta, Inc. Samsung Biologics Co., Ltd. was founded in 2011 and is headquartered in Incheon, South Korea.","Samsung Biologics Co., Ltd. engages in the contract manufacturing organization business for biopharmaceuticals products. It is involved in the provision of contract development organization services, including cell line development, upstream and downstream processes, and analytical methods and formulations. The company also offers aseptic filling, lyophilization, finishing, storage and shipping, and support services; and quality assurance and control, as well as biosafety and analytical testing services. In addition, it engages in the development and commercialization of biosimilar drugs; and manufactures mammalian cell-based antibody drugs. The company has a strategic partnership agreement with Kineta, Inc. Samsung Biologics Co., Ltd. was founded in 2011 and is headquartered in Incheon, South Korea.",2021-09-06,Biotechnology,https://samsungbiologics.com,2886,1.57E+12,NA,NA,82 3 2455 3114,NA,"300, Songdo Bio-daero","Incheon, , US",21987,https://samsungbiologics.com,https://samsungbiologics.com,https://financialmodelingprep.com/image-stock/207940.KS.png,"#Samsung Biologics Co.,Ltd., #Biotechnology, #Healthcare",1,1,TRUE,2022-05-23,2022-05-23
3,"Kbi Dongkook Ind. Co., Ltd","Kbi Dongkook Ind. Co., Ltd","Kbi Dongkook Ind.Co.,Ltd provides automobile components in South Korea. It offers interior and exterior components, air conditioning, and lamp parts. The company was founded in 1955 and is headquartered in Seoul, South Korea.","Kbi Dongkook Ind.Co.,Ltd provides automobile components in South Korea. It offers interior and exterior components, air conditioning, and lamp parts. The company was founded in 1955 and is headquartered in Seoul, South Korea.",2000-01-04,Auto Parts,https://www.dongkook.net,362,5.21E+11,NA,NA,82 4 1540 3500,NA,"350, Hangang-daero","Seoul, , US",NA,https://www.dongkook.net,https://www.dongkook.net,https://financialmodelingprep.com/image-stock/001620.KS.png,"#Kbi Dongkook Ind. Co., Ltd, #Auto Parts, #Consumer Cyclical",1,1,TRUE,2022-05-23,2022-05-23
4,"SAMWONSTEEL Co.,Ltd.","SAMWONSTEEL Co.,Ltd.","SAMWONSTEEL Co., Ltd. develops and supplies bars and auto spring materials for the automotive industry in South Korea, Japan, China, India, the United States, Southeast Asia, Europe, and Latin America. It offers round and square edge flat bars, round bars, peeled bars, centerless ground bars, pipes, and parabolic and multi-leaf springs for automobiles. The company also provides coil springs, stabilizer bars, and torsion bars. In addition, it focuses on the development and production of high-performance and high-stress materials for lightweight vehicles. The company was founded in 1992 and is headquartered in Pohang, South Korea.","SAMWONSTEEL Co., Ltd. develops and supplies bars and auto spring materials for the automotive industry in South Korea, Japan, China, India, the United States, Southeast Asia, Europe, and Latin America. It offers round and square edge flat bars, round bars, peeled bars, centerless ground bars, pipes, and parabolic and multi-leaf springs for automobiles. The company also provides coil springs, stabilizer bars, and torsion bars. In addition, it focuses on the development and production of high-performance and high-stress materials for lightweight vehicles. The company was founded in 1992 and is headquartered in Pohang, South Korea.",2011-07-22,Steel,https://www.samwon-steel.co.kr,,3.00E+11,NA,NA,82 5 4278 1983,NA,752 Daegak-ri,"Pohang, , US",790-841,https://www.samwon-steel.co.kr,https://www.samwon-steel.co.kr,https://financialmodelingprep.com/image-stock/023000.KS.png,"#SAMWONSTEEL Co.,Ltd., #Steel, #Basic Materials",1,1,TRUE,2022-05-23,2022-05-23
5,Kolon Global Corporation,Kolon Global Corporation,"Kolon Global Corporation engages in the construction, trading, and distribution businesses in South Korea and internationally. The company undertakes civil engineering projects, including the construction of expressways, subways, high-speed railways, bridges, and industrial complexes; and develops land for housing projects. It also imports and exports steel products, such as hot/cold rolled steel, steel plates, stainless steel, tin plates, and other products, as well as cast iron, billets, and slab products; and trades in bituminous coal, chemical raw materials, fertilizers, and textile materials. In addition, the company trades in general commodities, including energy/resource products that comprise steam coal, non-ferrous metals, and heavy water; textile machines, twine machines, coating and dyeing machines, and heavy equipment; marine products comprising frozen shrimps, sea lobsters, frozen octopus, galmat clam, seagul clam, frozen boiled top shell meat, and ark shells; military supplies, such as uniforms, body armors, and individual equipment; and safety shoes under the NEON brand. Further, it distributes motors and lifestyle products; and manages multi sports centers. The company was founded in 1954 and is based in Incheon, South Korea. Kolon Global Corporation is a subsidiary of Kolon Corporation.","Kolon Global Corporation engages in the construction, trading, and distribution businesses in South Korea and internationally. The company undertakes civil engineering projects, including the construction of expressways, subways, high-speed railways, bridges, and industrial complexes; and develops land for housing projects. It also imports and exports steel products, such as hot/cold rolled steel, steel plates, stainless steel, tin plates, and other products, as well as cast iron, billets, and slab products; and trades in bituminous coal, chemical raw materials, fertilizers, and textile materials. In addition, the company trades in general commodities, including energy/resource products that comprise steam coal, non-ferrous metals, and heavy water; textile machines, twine machines, coating and dyeing machines, and heavy equipment; marine products comprising frozen shrimps, sea lobsters, frozen octopus, galmat clam, seagul clam, frozen boiled top shell meat, and ark shells; military supplies, such as uniforms, body armors, and individual equipment; and safety shoes under the NEON brand. Further, it distributes motors and lifestyle products; and manages multi sports centers. The company was founded in 1954 and is based in Incheon, South Korea. Kolon Global Corporation is a subsidiary of Kolon Corporation.",2005-09-29,Engineering & Construction,https://www.kolonglobal.com,2399,4.75E+12,NA,NA,82 3 2420 9111,NA,Songdo IT Center,"Incheon, , US",NA,https://www.kolonglobal.com,https://www.kolonglobal.com,https://financialmodelingprep.com/image-stock/003075.KS.png,"#Kolon Global Corporation, #Engineering & Construction, #Industrials",1,1,TRUE,2022-05-23,2022-05-23
6,"Bukwang Pharmaceutical Co., Ltd.","Bukwang Pharmaceutical Co., Ltd.","Bukwang Pharmaceutical Co., Ltd. operates as a pharmaceutical company in South Korea and internationally. It manufactures oral solid dosage forms, injections, oral solutions, external-use solutions, and ointments. The company offers products in various therapeutic areas, including liver disease treatments, such as Levovir and Legalon; diabetic complication products comprising Dexid and Thioctacid; CNS disorder drugs consisting of Lonasen, Ixel, and Orfil; and respiratory disease treatments, which comprise Azeptin and Asima. It also provides OTC products; toothpastes, and hair and skin care goods; and nutritional supplements. In addition, the company offers products for antihistamines, hepatitis and gastrointestinal, sedative and antidote, anti-cancer, thyroid and osteoporosis, diabetes, obstetrics, urinogenital, cardiovascular, dermatology, obesity, pain relief, and muscle relaxant. Further, it provides products for bruises, skin and mucous membrane, rhinitis, cold symptoms, cough, phlegm and asthma, rheumatoid arthritis, osteoarthritis, pain caused by cold and fever, dysmenorrhea, NSAIDs, inflammation, joint inflammation, tinea pedis, infected wounds, dermatitis, antivirals-herpes, eczema, diarrhea, dyspepsia, sense of distension, anti-histamine, anti-ulcer, constipation, anemia, pregnant multivitamins, candidiasis, athlete's foot, onychomycosis, stomatitis, pimple, acne, physical fatigue, neuralgia, myalgia, and arthralgia. Additionally, the company offers medicines for period of lactation, rickets, night blindness, varicose vein, and sputum; and quasi drugs and medical devices, as well as health functional food. It also develops anti-diabetes compound with Melior Pharmaceuticals; and anti-cancer drugs with LSK BioPartners, as well as cell therapies using adult stem cells, as well as holds a license for a novel candidate to treat movement disorder in Parkinson's disease patients. The company was founded in 1960 and is based in Seoul, South Korea.","Bukwang Pharmaceutical Co., Ltd. operates as a pharmaceutical company in South Korea and internationally. It manufactures oral solid dosage forms, injections, oral solutions, external-use solutions, and ointments. The company offers products in various therapeutic areas, including liver disease treatments, such as Levovir and Legalon; diabetic complication products comprising Dexid and Thioctacid; CNS disorder drugs consisting of Lonasen, Ixel, and Orfil; and respiratory disease treatments, which comprise Azeptin and Asima. It also provides OTC products; toothpastes, and hair and skin care goods; and nutritional supplements. In addition, the company offers products for antihistamines, hepatitis and gastrointestinal, sedative and antidote, anti-cancer, thyroid and osteoporosis, diabetes, obstetrics, urinogenital, cardiovascular, dermatology, obesity, pain relief, and muscle relaxant. Further, it provides products for bruises, skin and mucous membrane, rhinitis, cold symptoms, cough, phlegm and asthma, rheumatoid arthritis, osteoarthritis, pain caused by cold and fever, dysmenorrhea, NSAIDs, inflammation, joint inflammation, tinea pedis, infected wounds, dermatitis, antivirals-herpes, eczema, diarrhea, dyspepsia, sense of distension, anti-histamine, anti-ulcer, constipation, anemia, pregnant multivitamins, candidiasis, athlete's foot, onychomycosis, stomatitis, pimple, acne, physical fatigue, neuralgia, myalgia, and arthralgia. Additionally, the company offers medicines for period of lactation, rickets, night blindness, varicose vein, and sputum; and quasi drugs and medical devices, as well as health functional food. It also develops anti-diabetes compound with Melior Pharmaceuticals; and anti-cancer drugs with LSK BioPartners, as well as cell therapies using adult stem cells, as well as holds a license for a novel candidate to treat movement disorder in Parkinson's disease patients. The company was founded in 1960 and is based in Seoul, South Korea.",2005-09-29,Drug Manufacturers?”Specialty & Generic,https://www.bukwang.co.kr,590,1.82E+11,NA,NA,82 2 828 8114,NA,"7, Sangdo-ro","Seoul, , US",6955,https://www.bukwang.co.kr,https://www.bukwang.co.kr,https://financialmodelingprep.com/image-stock/003000.KS.png,"#Bukwang Pharmaceutical Co., Ltd., #Drug Manufacturers?”Specialty & Generic, #Healthcare",1,1,TRUE,2022-05-23,2022-05-23
7,Lotte Chemical Corporation,Lotte Chemical Corporation,"Lotte Chemical Corporation, a chemical company, manufactures and distributes polymers, monomers, basic petrochemical products, and megatrend products. The company operates through Monomer, Polymer, Basic Petrochemicals, and Others segments. It offers polymer products, including high density, low-density, and linear low-density polyethylene, as well as ethylene-vinyl acetate; transparent-impact resistance polypropylene, as well as polypropylene for injection and blow molding, yarns/fibers, and films; thermoplastic elastomers, adhesive resins, thermoplastic olefins, long fiber reinforced thermoplastics, and expanded polypropylenes; polycarbonates, polycarbonate resins, and acrylonitrile-butadiene-styrene resins; and polyethylene terephthalates. The company also provides monomers, such as ethylene glycols/ethylene oxides; methoxy polyethylene glycols and polyethylene glycols, as well as VPEG, a raw material for third generation admixtures; glycole ethers; methyl methacrylates; purified isophthalic acids; and purified terephthalic acids. In addition, it offers basic petrochemicals comprising benzene, toluene, mixed xylene, meta-xylene, para-xylene, and ortho-xylene, as well as isoprene, dicyclopentadiene, piperylene, and styrene monomers; and water treatment membranes. Further, the company provides property lease and labor dispatch services. It conducts operations in the Republic of Korea, Malaysia, the United States, Pakistan, China, and other regions. The company was formerly known as Honam Petrochemical Corporation and changed its name to Lotte Chemical Corporation in December 2012. Lotte Chemical Corporation was founded in 1976 and is headquartered in Seoul, South Korea.","Lotte Chemical Corporation, a chemical company, manufactures and distributes polymers, monomers, basic petrochemical products, and megatrend products. The company operates through Monomer, Polymer, Basic Petrochemicals, and Others segments. It offers polymer products, including high density, low-density, and linear low-density polyethylene, as well as ethylene-vinyl acetate; transparent-impact resistance polypropylene, as well as polypropylene for injection and blow molding, yarns/fibers, and films; thermoplastic elastomers, adhesive resins, thermoplastic olefins, long fiber reinforced thermoplastics, and expanded polypropylenes; polycarbonates, polycarbonate resins, and acrylonitrile-butadiene-styrene resins; and polyethylene terephthalates. The company also provides monomers, such as ethylene glycols/ethylene oxides; methoxy polyethylene glycols and polyethylene glycols, as well as VPEG, a raw material for third generation admixtures; glycole ethers; methyl methacrylates; purified isophthalic acids; and purified terephthalic acids. In addition, it offers basic petrochemicals comprising benzene, toluene, mixed xylene, meta-xylene, para-xylene, and ortho-xylene, as well as isoprene, dicyclopentadiene, piperylene, and styrene monomers; and water treatment membranes. Further, the company provides property lease and labor dispatch services. It conducts operations in the Republic of Korea, Malaysia, the United States, Pakistan, China, and other regions. The company was formerly known as Honam Petrochemical Corporation and changed its name to Lotte Chemical Corporation in December 2012. Lotte Chemical Corporation was founded in 1976 and is headquartered in Seoul, South Korea.",2000-01-04,Chemicals,https://www.lottechem.com,10093,1.81E+13,NA,NA,82 2 829 4114,NA,Lotte World Tower,"Seoul, , US",5551,https://www.lottechem.com,https://www.lottechem.com,https://financialmodelingprep.com/image-stock/011170.KS.png,"#Lotte Chemical Corporation, #Chemicals, #Basic Materials",1,1,TRUE,2022-05-23,2022-05-23
8,"Hanil Cement Co., Ltd.","Hanil Cement Co., Ltd.","Hanil Cement Co., Ltd. produces and sells cements, ready-mixed concretes, and admixtures. The company offers Hanil Remicon for construction sites; and dry mortar products under the Remitar brand name. It also exports its products. The company was founded in 1961 and is headquartered in Seoul, South Korea.","Hanil Cement Co., Ltd. produces and sells cements, ready-mixed concretes, and admixtures. The company offers Hanil Remicon for construction sites; and dry mortar products under the Remitar brand name. It also exports its products. The company was founded in 1961 and is headquartered in Seoul, South Korea.",2018-08-08,Building Materials,https://www.hanilcement.com,612,1.27E+12,NA,NA,82 2 531 7000,NA,330 Gangnam-daero,"Seoul, , US",6654,https://www.hanilcement.com,https://www.hanilcement.com,https://financialmodelingprep.com/image-stock/300720.KS.png,"#Hanil Cement Co., Ltd., #Building Materials, #Basic Materials",1,1,TRUE,2022-05-23,2022-05-23
9,"SK bioscience Co.,Ltd.","SK bioscience Co.,Ltd.","SK bioscience Co.,Ltd. engages in the research and development, production, and distribution of vaccines and biopharmaceuticals in Korea and internationally. Its product portfolio includes Skycellflu, a cell cultured influenza surface antigen vaccine; Skycellflu 4-ga pre-filled syringe; pneumococcal vaccine for adult and infant; Skyzoster, a shingles virus vaccine; and Sky Baricella for the prevention of chickenpox infection in children. The company also engages in the development of oral rotavirus vaccine that has completed phase 2 clinical trial; cervical cancer vaccine, which has completed phase 2 clinical trial; rotavirus vaccine that is in phase 3 clinical trial in Africa; typhoid conjugate vaccine; and Corona 19 vaccine that is in phase 1 and phase 1/2 clinical trials; and low-cost pneumococcal vaccine, which has completed phase 2 clinical trial and next-generation pneumococcal vaccine that is in phase 2 clinical trial in the United States. SK bioscience Co.,Ltd. was founded in 2018 and is based in Seongnam-si, South Korea.","SK bioscience Co.,Ltd. engages in the research and development, production, and distribution of vaccines and biopharmaceuticals in Korea and internationally. Its product portfolio includes Skycellflu, a cell cultured influenza surface antigen vaccine; Skycellflu 4-ga pre-filled syringe; pneumococcal vaccine for adult and infant; Skyzoster, a shingles virus vaccine; and Sky Baricella for the prevention of chickenpox infection in children. The company also engages in the development of oral rotavirus vaccine that has completed phase 2 clinical trial; cervical cancer vaccine, which has completed phase 2 clinical trial; rotavirus vaccine that is in phase 3 clinical trial in Africa; typhoid conjugate vaccine; and Corona 19 vaccine that is in phase 1 and phase 1/2 clinical trials; and low-cost pneumococcal vaccine, which has completed phase 2 clinical trial and next-generation pneumococcal vaccine that is in phase 2 clinical trial in the United States. SK bioscience Co.,Ltd. was founded in 2018 and is based in Seongnam-si, South Korea.",2021-03-18,Biotechnology,https://www.skbioscience.co.kr,,9.29E+11,NA,NA,82 2 2008 2200,NA,"310, Pangyo-ro","Seongnam-si, , US",13494,https://www.skbioscience.co.kr,https://www.skbioscience.co.kr,https://financialmodelingprep.com/image-stock/302440.KS.png,"#SK bioscience Co.,Ltd., #Biotechnology, #Healthcare",1,1,TRUE,2022-05-23,2022-05-23
