,name,name_eng,description_short,description,founded_date,product,homepage,employee_cnt,revenue,ceo_name,email,tel,fax,address1,address2,post_code,facebook,youtube,logo,hash_tag,nation_id,industry_id,is_active,created_at,updated_at
0,Tekken Corporation,Tekken Corporation,"Tekken Corporation engages in the construction business in Japan and internationally. It constructs infrastructure projects, including roads, tunnels, bridges, water supply and sewerage facilities, revetments, etc.; railway projects, such as grade-separated intersections, tunnels, bridges, embankments, railway station buildings, train depots, etc.; and commercial buildings, schools, and medical and welfare facilities. The company was founded in 1944 and is headquartered in Tokyo, Japan.","Tekken Corporation engages in the construction business in Japan and internationally. It constructs infrastructure projects, including roads, tunnels, bridges, water supply and sewerage facilities, revetments, etc.; railway projects, such as grade-separated intersections, tunnels, bridges, embankments, railway station buildings, train depots, etc.; and commercial buildings, schools, and medical and welfare facilities. The company was founded in 1944 and is headquartered in Tokyo, Japan.",2001-01-01,Engineering & Construction,https://www.tekken.co.jp,1983,1.8202E+11,NA,NA,81 3 3221 2155,NA,"2-5-3, Misakicho","Tokyo, , JP",101-8366,https://www.tekken.co.jp,https://www.tekken.co.jp,https://financialmodelingprep.com/image-stock/1815.T.png,"#Tekken Corporation, #Engineering & Construction, #Industrials",17,1,TRUE,2022-05-23,2022-05-23
1,"Snow Peak, Inc.","Snow Peak, Inc.","Snow Peak, Inc. develops, manufactures, and sells outdoor and apparel products in Japan and internationally. It offers tents, tarps, shelters, tent pegs, hammers, ropes, poles, sleeping bags/pillows, inner mats/ground sheets, tables and chairs, lanterns/lights, kitchen products, heating products, bonfire stands, grill systems, cooking utensils, knives, forks, spoons, chopsticks, tableware, carry bags and containers, field gears, and cooler boxes, as well as dog, photo, and part products. The company also provides coats, jackets, vests, fleece, knits, shirt, t-shirts, parkers, pants, shorts, tights, insulation products, kimono, and insect shield products, as well as apparel accessories, such as bags/backpacks, socks, hats, aprons, belts, gloves, and other accessories. It operates 33 stores in Japan. Snow Peak, Inc. was founded in 1958 and is headquartered in Sanjo, Japan.","Snow Peak, Inc. develops, manufactures, and sells outdoor and apparel products in Japan and internationally. It offers tents, tarps, shelters, tent pegs, hammers, ropes, poles, sleeping bags/pillows, inner mats/ground sheets, tables and chairs, lanterns/lights, kitchen products, heating products, bonfire stands, grill systems, cooking utensils, knives, forks, spoons, chopsticks, tableware, carry bags and containers, field gears, and cooler boxes, as well as dog, photo, and part products. The company also provides coats, jackets, vests, fleece, knits, shirt, t-shirts, parkers, pants, shorts, tights, insulation products, kimono, and insect shield products, as well as apparel accessories, such as bags/backpacks, socks, hats, aprons, belts, gloves, and other accessories. It operates 33 stores in Japan. Snow Peak, Inc. was founded in 1958 and is headquartered in Sanjo, Japan.",2014-12-11,Leisure,https://www.snowpeak.co.jp,623,25713536000,NA,NA,81 2 5646 5858,NA,456 Nakanohara,"Sanjo, , JP",955-0147,https://www.snowpeak.co.jp,https://www.snowpeak.co.jp,https://financialmodelingprep.com/image-stock/7816.T.png,"#Snow Peak, Inc., #Leisure, #Consumer Cyclical",17,1,TRUE,2022-05-23,2022-05-23
2,Toda Kogyo Corp.,Toda Kogyo Corp.,"Toda Kogyo Corp. manufactures and sells functional pigments and electronic materials in Japan and internationally. It offers electronic printing materials, including toner materials for printers and copying machines, carriers for color printers and copying machines, and magnetic materials for printers and copying machines, as well as high-chroma pigments for use in cosmetics. The company also provides metal-compatible IC/NFC tags, flexible ferrite sheets, complex noise suppression sheets, multi-functional compounds, noise suppression compound for electric wires and cables, wireless power charger coils for wearable devices, and ultra-thin flexible ferrite sheets; and flexible ferrite sheets for RFID, WPC, digitizers, noise suppression, and NFC antennas. In addition, it offers lithium cobaltate, lithium-nickel oxide, and lithium manganate battery materials for personal computers, mobile phones, hybrid cars, and industrial applications; and electronic materials for inductors and capacitors, magnetic recording materials for magnetic cards, and magnetic materials for general purpose and advanced applications. Further, the company provides environmentally functional and remediation materials comprising raw materials for lead-free vinyl chloride stabilizers; anion catchers for various resins; dioxin reduction and functional compounds for crow-repellent garbage bags, etc.; ligneous biomass hydrogen production systems; and CO2 reduction systems. Additionally, it offers pigments for colored pavements, reflective pigments to combat the heat island phenomenon, non-lead pigments for center lines, and pigments for coatings and resins; magnetic recording materials for digital recording media used with computers and video tapes for broadcasting; and electromagnetic wave shielding materials for displays and catalysts for fuel cells. The company was founded in 1823 and is headquartered in Hiroshima, Japan.","Toda Kogyo Corp. manufactures and sells functional pigments and electronic materials in Japan and internationally. It offers electronic printing materials, including toner materials for printers and copying machines, carriers for color printers and copying machines, and magnetic materials for printers and copying machines, as well as high-chroma pigments for use in cosmetics. The company also provides metal-compatible IC/NFC tags, flexible ferrite sheets, complex noise suppression sheets, multi-functional compounds, noise suppression compound for electric wires and cables, wireless power charger coils for wearable devices, and ultra-thin flexible ferrite sheets; and flexible ferrite sheets for RFID, WPC, digitizers, noise suppression, and NFC antennas. In addition, it offers lithium cobaltate, lithium-nickel oxide, and lithium manganate battery materials for personal computers, mobile phones, hybrid cars, and industrial applications; and electronic materials for inductors and capacitors, magnetic recording materials for magnetic cards, and magnetic materials for general purpose and advanced applications. Further, the company provides environmentally functional and remediation materials comprising raw materials for lead-free vinyl chloride stabilizers; anion catchers for various resins; dioxin reduction and functional compounds for crow-repellent garbage bags, etc.; ligneous biomass hydrogen production systems; and CO2 reduction systems. Additionally, it offers pigments for colored pavements, reflective pigments to combat the heat island phenomenon, non-lead pigments for center lines, and pigments for coatings and resins; magnetic recording materials for digital recording media used with computers and video tapes for broadcasting; and electromagnetic wave shielding materials for displays and catalysts for fuel cells. The company was founded in 1823 and is headquartered in Hiroshima, Japan.",2001-01-01,Specialty Chemicals,https://www.todakogyo.co.jp,1208,29024000000,NA,NA,81 8 2577 0055,NA,Taiju Seimei Hiroshima Ekimae Building,"Hiroshima, , JP",732-0828,https://www.todakogyo.co.jp,https://www.todakogyo.co.jp,https://financialmodelingprep.com/image-stock/4100.T.png,"#Toda Kogyo Corp., #Specialty Chemicals, #Basic Materials",17,1,TRUE,2022-05-23,2022-05-23
3,"R&D Computer Co.,Ltd.","R&D Computer Co.,Ltd.","R&D Computer Co.,Ltd. provides system integration, infrastructure, package, cloud, and embedded control system solutions in Japan. It offers system integration services for financial industry, such as banking, insurance, securities, and credit card industries; and distribution industry, public sector, medical field, etc. The company also provides infrastructure solution, such as servers; construction of networks; construction of system infrastructure, such as databases and application infrastructure, as well as related operation and maintenance services; and virtualization technology services. In addition, it is involved in the development, maintenance, and operation of package-based SI and services. The company was formerly known as Nippon Computer Gakuin Institute, Inc. and changed its name to R&D Computer Co., Ltd. in June 1971. R&D Computer Co., Ltd. was incorporated in 1971 and is headquartered in Tokyo, Japan.","R&D Computer Co.,Ltd. provides system integration, infrastructure, package, cloud, and embedded control system solutions in Japan. It offers system integration services for financial industry, such as banking, insurance, securities, and credit card industries; and distribution industry, public sector, medical field, etc. The company also provides infrastructure solution, such as servers; construction of networks; construction of system infrastructure, such as databases and application infrastructure, as well as related operation and maintenance services; and virtualization technology services. In addition, it is involved in the development, maintenance, and operation of package-based SI and services. The company was formerly known as Nippon Computer Gakuin Institute, Inc. and changed its name to R&D Computer Co., Ltd. in June 1971. R&D Computer Co., Ltd. was incorporated in 1971 and is headquartered in Tokyo, Japan.",2015-12-11,Information Technology Services,https://www.rand.co.jp,,8877449000,NA,NA,81 3 5232 3040,NA,MS Shibaura Building,"Tokyo, , JP",108-0023,https://www.rand.co.jp,https://www.rand.co.jp,https://financialmodelingprep.com/image-stock/3924.T.png,"#R&D Computer Co.,Ltd., #Information Technology Services, #Technology",17,1,TRUE,2022-05-23,2022-05-23
4,United Arrows Ltd.,United Arrows Ltd.,"United Arrows Ltd. plans, buys, and retails men's and women's apparel, accessories, and other products in Japan. As of March 31, 2019, it operated a network of 358 stores. The company also sells its products through online stores. United Arrows Ltd. was founded in 1989 and is headquartered in Tokyo, Japan.","United Arrows Ltd. plans, buys, and retails men's and women's apparel, accessories, and other products in Japan. As of March 31, 2019, it operated a network of 358 stores. The company also sells its products through online stores. United Arrows Ltd. was founded in 1989 and is headquartered in Tokyo, Japan.",2002-03-19,Apparel Retail,https://www.united-arrows.co.jp,4641,1.21712E+11,NA,NA,81 3 5785 6325,NA,Nihonseimei Akasaka Building,"Tokyo, , JP",107-0052,https://www.united-arrows.co.jp,https://www.united-arrows.co.jp,https://financialmodelingprep.com/image-stock/7606.T.png,"#United Arrows Ltd., #Apparel Retail, #Consumer Cyclical",17,1,TRUE,2022-05-23,2022-05-23
5,"Tokai Tokyo Financial Holdings, Inc.","Tokai Tokyo Financial Holdings, Inc.","Tokai Tokyo Financial Holdings, Inc. operates as a securities company in Japan. The company provides foreign equities, foreign bonds, structured bonds, and derivatives; investment trust services; and investment banking services, such as IPOs, public stock offerings, secondary sales, and mergers and acquisitions (M&A). Its activities also include financial instruments business; research on economic conditions and corporate performance; creation and management of funds, and self-financed investments; consulting on handling of testamentary trusts and inheritance property; asset management; fund investment; education and training; provision of transfer agency, merchandising, printing, real-estate rental management, and insurance agency services; and back-office operations. In addition, the company offers M&A, and cross-border advisory services; and investment management, advisory, and agency services. The company was formerly known as Tokai Tokyo Securities Co., Ltd. and changed its name to Tokai Tokyo Financial Holdings, Inc. in April 2009. Tokai Tokyo Financial Holdings, Inc. was incorporated in 1929 and is headquartered in Tokyo, Japan.","Tokai Tokyo Financial Holdings, Inc. operates as a securities company in Japan. The company provides foreign equities, foreign bonds, structured bonds, and derivatives; investment trust services; and investment banking services, such as IPOs, public stock offerings, secondary sales, and mergers and acquisitions (M&A). Its activities also include financial instruments business; research on economic conditions and corporate performance; creation and management of funds, and self-financed investments; consulting on handling of testamentary trusts and inheritance property; asset management; fund investment; education and training; provision of transfer agency, merchandising, printing, real-estate rental management, and insurance agency services; and back-office operations. In addition, the company offers M&A, and cross-border advisory services; and investment management, advisory, and agency services. The company was formerly known as Tokai Tokyo Securities Co., Ltd. and changed its name to Tokai Tokyo Financial Holdings, Inc. in April 2009. Tokai Tokyo Financial Holdings, Inc. was incorporated in 1929 and is headquartered in Tokyo, Japan.",2001-01-01,Asset Management,https://www.tokaitokyo-fh.jp,2907,69361000000,NA,NA,81 3 3517 8100,NA,Nihonbashi Takashimaya Mitsui Building,"Tokyo, , JP",103-6130,https://www.tokaitokyo-fh.jp,https://www.tokaitokyo-fh.jp,https://financialmodelingprep.com/image-stock/8616.T.png,"#Tokai Tokyo Financial Holdings, Inc., #Asset Management, #Financial Services",17,1,TRUE,2022-05-23,2022-05-23
6,"Compucase Enterprise Co., Ltd.","Compucase Enterprise Co., Ltd.","Compucase Enterprise Co., Ltd. designs and manufactures PC cases, power supplies, rackmount chassis, and cabinets worldwide. It also manufactures LED Drivers, LED Luminaire, LED panel, switching power and open frame power supplies. The company offers its products under the HEC brand to OEM customers, system integrators, industrial users, and retail customers. Compucase Enterprise Co., Ltd. was founded in 1979 and is headquartered in Tainan City, Taiwan.","Compucase Enterprise Co., Ltd. designs and manufactures PC cases, power supplies, rackmount chassis, and cabinets worldwide. It also manufactures LED Drivers, LED Luminaire, LED panel, switching power and open frame power supplies. The company offers its products under the HEC brand to OEM customers, system integrators, industrial users, and retail customers. Compucase Enterprise Co., Ltd. was founded in 1979 and is headquartered in Tainan City, Taiwan.",2021-09-08,Computer Hardware,https://www.hec-group.com.tw,,8293189000,NA,NA,886 6 356 0606,NA,"No. 225, An Ho Road","Tainan City, , US",NA,https://www.hec-group.com.tw,https://www.hec-group.com.tw,https://financialmodelingprep.com/image-stock/3032.TW.png,"#Compucase Enterprise Co., Ltd., #Computer Hardware, #Technology",17,1,TRUE,2022-05-23,2022-05-23
7,YASKAWA Electric Corporation,YASKAWA Electric Corporation,"YASKAWA Electric Corporation engages in motion control, robotics, system engineering, and other businesses worldwide. It manufactures and sells various AC drives, including general purpose AC drives, specific purpose AC drives, AC Drive for systems, regenerative energy saving units, and PM motors for use in household appliances, such as air conditioners and refrigerators; social infrastructures comprising elevators, escalators, trains, cranes, fans, and pumps; and factories that manufacture printing machinery, textile machinery, rubber machinery, and other materials. The company also offers rotary servo motors, direct drive servo motors, linear motors/linear sliders, machine controllers, positioning sensor encoders, and servo amplifiers for use in industrial robots, semiconductor manufacturing apparatus, machine tools, flat panel display manufacturing equipment, and metal working machines; and arc and spot welding, handling/assembling, collaborative, biomedical, palletizing, press handling, sealing/cutting/laser machining, deburring, painting, glass substrates transfer, and semiconductor wafer transfer robots for use in semiconductor wafer conveyance, arc welding, spot welding, handling, assembly, and palletizing applications. In addition, it provides industrial system electrical products, such as medium-voltage AC drives, system use AC drives, and system controllers for use in iron and steel systems, water and wastewater treatment, crane, and paper-making/film/port cargo handling/fiber/printing applications. Further, the company offers equipment for energy saving and creation comprising PV inverters, systems for large wind turbines, control equipment for small-scale power generation, and motor drive systems for use in photovoltaic power generation, large-scale wind power generation, small-scale power generation, and electric vehicles. YASKAWA Electric Corporation was founded in 1915 and is headquartered in Kitakyushu, Japan.","YASKAWA Electric Corporation engages in motion control, robotics, system engineering, and other businesses worldwide. It manufactures and sells various AC drives, including general purpose AC drives, specific purpose AC drives, AC Drive for systems, regenerative energy saving units, and PM motors for use in household appliances, such as air conditioners and refrigerators; social infrastructures comprising elevators, escalators, trains, cranes, fans, and pumps; and factories that manufacture printing machinery, textile machinery, rubber machinery, and other materials. The company also offers rotary servo motors, direct drive servo motors, linear motors/linear sliders, machine controllers, positioning sensor encoders, and servo amplifiers for use in industrial robots, semiconductor manufacturing apparatus, machine tools, flat panel display manufacturing equipment, and metal working machines; and arc and spot welding, handling/assembling, collaborative, biomedical, palletizing, press handling, sealing/cutting/laser machining, deburring, painting, glass substrates transfer, and semiconductor wafer transfer robots for use in semiconductor wafer conveyance, arc welding, spot welding, handling, assembly, and palletizing applications. In addition, it provides industrial system electrical products, such as medium-voltage AC drives, system use AC drives, and system controllers for use in iron and steel systems, water and wastewater treatment, crane, and paper-making/film/port cargo handling/fiber/printing applications. Further, the company offers equipment for energy saving and creation comprising PV inverters, systems for large wind turbines, control equipment for small-scale power generation, and motor drive systems for use in photovoltaic power generation, large-scale wind power generation, small-scale power generation, and electric vehicles. YASKAWA Electric Corporation was founded in 1915 and is headquartered in Kitakyushu, Japan.",2001-01-01,Electrical Equipment & Parts,https://www.yaskawa.co.jp,12925,3.89712E+11,NA,NA,81 93 645 8801,NA,2-1 Kurosakishiroishi,"Kitakyushu, , JP",806-0004,https://www.yaskawa.co.jp,https://www.yaskawa.co.jp,https://financialmodelingprep.com/image-stock/6506.T.png,"#YASKAWA Electric Corporation, #Electrical Equipment & Parts, #Industrials",17,1,TRUE,2022-05-23,2022-05-23
8,TYK Corporation,TYK Corporation,"TYK Corporation engages in the development, production, and sale of refractory bricks primarily for use in steel making worldwide. It also offers fine ceramics, including metal matrix composites; and porcelain products and construction materials for aesthetic purposes. In addition, the company provides refractory products for converters, secondary refining, gas blowing, flow control system, pig iron making, continuous casting, cement and lime kiln, incineration and industrial furnace, and refactory engineering. Further, the company offers bricks for pig iron ladles, precast blocks, lance pipes, tuyere sleeves for blast furnace, and auxiliary machinery and equipment; and advanced materials, such as fine ceramics, abrasion-resistant materials, composite material, ceramic sensors, carbon sheets, brake material, and ceramic filter. Additionally, it provides analytical testing and engine test bench services. TYK Corporation was founded in 1947 and is headquartered in Minato, Japan.","TYK Corporation engages in the development, production, and sale of refractory bricks primarily for use in steel making worldwide. It also offers fine ceramics, including metal matrix composites; and porcelain products and construction materials for aesthetic purposes. In addition, the company provides refractory products for converters, secondary refining, gas blowing, flow control system, pig iron making, continuous casting, cement and lime kiln, incineration and industrial furnace, and refactory engineering. Further, the company offers bricks for pig iron ladles, precast blocks, lance pipes, tuyere sleeves for blast furnace, and auxiliary machinery and equipment; and advanced materials, such as fine ceramics, abrasion-resistant materials, composite material, ceramic sensors, carbon sheets, brake material, and ceramic filter. Additionally, it provides analytical testing and engine test bench services. TYK Corporation was founded in 1947 and is headquartered in Minato, Japan.",2001-01-01,Building Materials,https://www.tyk.co.jp,930,22914616000,NA,NA,81 3 6433 2888,NA,Shinagawa-City Building,"Minato, , JP",108-005,https://www.tyk.co.jp,https://www.tyk.co.jp,https://financialmodelingprep.com/image-stock/5363.T.png,"#TYK Corporation, #Building Materials, #Basic Materials",17,1,TRUE,2022-05-23,2022-05-23
9,"Iriso Electronics Co., Ltd.","Iriso Electronics Co., Ltd.","Iriso Electronics Co., Ltd. develops, manufactures, and sells connectors. The company offers board to board, FPC/FFC, socket, pin header, input/output, and card edge connectors, as well as compression terminals and ESD protector chips. It serves automotive, industrial, and consumer sectors. The company sells its products primarily in Japan, South Korea, China, Hong Kong, Taiwan, Singapore, Malaysia, Thailand, the Philippines, Germany, the United States, and India. Iriso Electronics Co., Ltd. was founded in 1966 and is headquartered in Yokohama, Japan.","Iriso Electronics Co., Ltd. develops, manufactures, and sells connectors. The company offers board to board, FPC/FFC, socket, pin header, input/output, and card edge connectors, as well as compression terminals and ESD protector chips. It serves automotive, industrial, and consumer sectors. The company sells its products primarily in Japan, South Korea, China, Hong Kong, Taiwan, Singapore, Malaysia, Thailand, the Philippines, Germany, the United States, and India. Iriso Electronics Co., Ltd. was founded in 1966 and is headquartered in Yokohama, Japan.",2000-01-04,Electronic Components,https://www.iriso.co.jp,3277,36520000000,NA,NA,,NA,"2-13-8, Shinyokohama","Yokohama, , JP",222-0033,https://www.iriso.co.jp,https://www.iriso.co.jp,https://financialmodelingprep.com/image-stock/6908.T.png,"#Iriso Electronics Co., Ltd., #Electronic Components, #Technology",17,1,TRUE,2022-05-23,2022-05-23
